video_id,channelId,title,categoryId,publishedAt,view_count,likes,comment_count,sampled_comments,sample_coverage_ratio,owner_top_comments,total_top_comments,owner_replies,total_replies,threads_with_owner_reply,owner_comments_total,audience_comments_total,all_comments_total,owner_engagement_share,response_rate,label_success_views_q75,label_success_likes_q75,likes_per_view_ratio,label_success_lpv_q75,log_owner_engagement_share,log_response_rate
M9Pmf9AB4Mo,UC0ZV6M2THA81QT9hrVWJG3A,Apex Legends | Stories from the Outlands – “The Endorsement”,20.0,2020-08-11 17:00:10+00:00,2381688.0,146739.0,16549.0,313.0,0.0189135295183999,0.0,249.0,0.0,64.0,0.0,0.0,313.0,313.0,0.0,0.0,1,1,0.06161134455898506,0,0.0,0.0
J78aPJ3VyNs,UCYzPXprvl5Y-Sf0g4vX-m6g,I left youtube for a month and THIS is what happened.,24.0,2020-08-11 16:34:06+00:00,2038853.0,353787.0,40221.0,393.0,0.009771015141344,1.0,246.0,0.0,147.0,0.0,1.0,392.0,393.0,0.0025445292620865,0.0,0,1,0.17352256391216042,1,0.0025412974286725667,0.0
VIUo6yapDbc,UCDVPcEbVLQgLZX0Rt6jo34A,Ultimate DIY Home Movie Theater for The LaBrant Family!,26.0,2020-08-11 15:10:05+00:00,1123889.0,45802.0,2196.0,401.0,0.1826047358834244,0.0,247.0,2.0,154.0,2.0,2.0,399.0,401.0,0.0049875311720698,0.0080971659919028,0,0,0.04075313487363966,0,0.004975134640113771,0.008064559836730385
SnsPZj91R7E,UCZDdF_p-L88NWVpzF0vjvMQ,SURPRISING MY DAD WITH HIS DREAM TRUCK!! | Louie's Life,24.0,2020-08-10 22:26:59+00:00,1402687.0,95694.0,6613.0,404.0,0.0610917889006502,1.0,250.0,0.0,154.0,0.0,1.0,403.0,404.0,0.0024752475247524,0.0,0,0,0.06822191978680918,0,0.002472189145388995,0.0
SsWHMAhshPQ,UC648rgJOboZlgcDbW00vTSA,Ovi x Natanael Cano x Aleman x Big Soto - Vengo De Nada [Official Video],10.0,2020-08-11 23:00:10+00:00,741028.0,113983.0,5618.0,415.0,0.0738697045211819,1.0,236.0,0.0,179.0,0.0,1.0,414.0,415.0,0.0024096385542168,0.0,0,0,0.1538173996124303,1,0.002406740030564918,0.0
49Z6Mv4_WCA,UCtinbF-Q-fVthA0qrFQTgXQ,i don't know what im doing anymore,22.0,2020-08-11 20:24:34+00:00,940036.0,87111.0,7052.0,403.0,0.0571469086783891,1.0,248.0,0.0,155.0,0.0,1.0,402.0,403.0,0.0024813895781637,0.0,0,0,0.09266772761894225,1,0.0024783160144670165,0.0
I6hswz4rIrU,UCBMvc6jvuTxH6TNo9ThpYjg,Rainbow Six Siege: Operation Shadow Legacy Reveal Trailer | Ubisoft [NA],20.0,2020-08-11 17:13:53+00:00,320872.0,14288.0,2085.0,275.0,0.13189448441247,0.0,248.0,0.0,27.0,0.0,0.0,275.0,275.0,0.0,0.0,0,0,0.04452865940312648,0,0.0,0.0
W7VK4DUHvKU,UC1X3TRsCt36QPjF1p5f3HTg,Lil Yachty & Future - Pardon Me (Official Video),10.0,2020-08-11 19:00:10+00:00,413372.0,26440.0,1495.0,280.0,0.1872909698996655,0.0,247.0,0.0,33.0,0.0,0.0,280.0,280.0,0.0,0.0,0,0,0.06396175841614817,0,0.0,0.0
W9Aen8hG20Y,UCR9NuNwCUIhMOLUQnLN7_WA,When Our Generation Gets Old and Hears a Throwback Song 5,23.0,2020-08-10 22:33:48+00:00,921261.0,124183.0,16460.0,380.0,0.0230862697448359,1.0,250.0,0.0,130.0,0.0,1.0,379.0,380.0,0.0026315789473684,0.0,0,0,0.13479676226389697,1,0.0026281224062694904,0.0
BNeDH6UTmXw,UCMw7m-ScQ6jV1FQzQnn1y8Q,Ten Minutes with Tyler Cameron | Q&A,22.0,2020-08-11 22:00:05+00:00,105955.0,4511.0,673.0,329.0,0.4888558692421991,1.0,250.0,0.0,79.0,0.0,1.0,328.0,329.0,0.0030395136778115,0.0,0,0,0.042574677929309614,0,0.003034903695153977,0.0
6TIsR_7nrNc,UC2rJLq19N0dGrxfib80M_fg,Kylie Jenner Reacts To 'WAP' Music Video Backlash,24.0,2020-08-10 18:41:19+00:00,1007540.0,10102.0,2763.0,391.0,0.1415128483532392,1.0,246.0,2.0,145.0,1.0,3.0,388.0,391.0,0.0076726342710997,0.0040650406504065,0,0,0.010026400936935506,0,0.007643349312568002,0.0040568006956143874
GTp-0S82guE,UCCgLoMYIyP0U56dEhEL1wXQ,Time to Talk..,26.0,2020-08-11 12:04:40+00:00,1648441.0,130147.0,15773.0,416.0,0.0263741837316934,1.0,249.0,0.0,167.0,0.0,1.0,415.0,416.0,0.0024038461538461,0.0,0,0,0.07895156696539336,0,0.0024009615375381117,0.0
5WjcDji3xYc,UCOpcACMWblDls9Z6GERVi1A,Honest Trailers | Avatar: The Last Airbender,1.0,2020-08-11 17:03:59+00:00,833369.0,50181.0,4634.0,339.0,0.0731549417350021,1.0,249.0,0.0,90.0,0.0,1.0,338.0,339.0,0.0029498525073746,0.0,0,0,0.060214622814143554,0,0.0029455102297567823,0.0
FopIxceEr8g,UCilwZiBBfI9X6yiZRzWty8Q,EXTREME Game of Hide and Seek in my NEW HOUSE!!,24.0,2020-08-10 17:09:53+00:00,3061467.0,206840.0,14934.0,399.0,0.0267175572519083,1.0,245.0,0.0,154.0,0.0,1.0,398.0,399.0,0.0025062656641604,0.0,1,1,0.06756238104150722,0,0.0025031302181185294,0.0
AMXT1ok5UBg,UCWwWOFsW68TqXE-HZLC3WIA,THIS IS THE END.,22.0,2020-08-11 23:00:02+00:00,2630410.0,185419.0,15908.0,273.0,0.0171611767664068,0.0,242.0,0.0,31.0,0.0,0.0,273.0,273.0,0.0,0.0,1,1,0.07049053189426743,0,0.0,0.0
Que4RnxYLNc,UCtpzjafUx5qbmxJdqm4-qmg,iann dior – Prospect ft. Lil Baby (Official Video),10.0,2020-08-11 19:15:10+00:00,187835.0,23938.0,1895.0,406.0,0.2142480211081794,1.0,246.0,0.0,160.0,0.0,1.0,405.0,406.0,0.0024630541871921,0.0,0,0,0.12744163760747465,1,0.0024600258408623288,0.0
2avPJ9TZNmU,UC0BletW9phE4xHFM44q4qKA,Juice WRLD & The Weeknd - Smile (Official Video),10.0,2020-08-11 18:03:12+00:00,2228821.0,289389.0,25151.0,247.0,0.0098206830742316,0.0,236.0,0.0,11.0,0.0,0.0,247.0,247.0,0.0,0.0,1,1,0.12983949810235995,1,0.0,0.0
PT6hPvOqTYc,UCFp65-s_fyaBjVZbVyp--Kw,Being replaced.,22.0,2020-08-10 20:56:04+00:00,542048.0,42090.0,10576.0,548.0,0.0518154311649016,1.0,250.0,0.0,298.0,0.0,1.0,547.0,548.0,0.0018248175182481,0.0,0,0,0.07764994981994215,0,0.0018231545615150224,0.0
9nidKH8cM38,UCFMbX7frWZfuWdjAML0babA,TAXI CAB SLAYER KILLS 'TO KNOW HOW IT FEELS',27.0,2020-08-11 20:00:45+00:00,236830.0,16423.0,1642.0,266.0,0.1619975639464068,0.0,250.0,0.0,16.0,0.0,0.0,266.0,266.0,0.0,0.0,0,0,0.06934509986065955,0,0.0,0.0
CezxKs9YLv0,UCMJbbWyIziiUamP5JKK9yAA,"Here's Why We Do Sponsored Videos, What Are Your Thoughts?",22.0,2020-08-11 22:41:31+00:00,75700.0,9228.0,7085.0,400.0,0.0564573041637261,1.0,250.0,0.0,150.0,0.0,1.0,399.0,400.0,0.0025,0.0,0,0,0.12190224570673712,1,0.002496880198587199,0.0
