video_duration_sec,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count
59,343296,19425,241,1,0
32,140877,77355,19034,1161,684
31,902185,97690,2858,833,329
25,437506,239954,34812,1234,584
19,56167,34987,4110,547,152
35,336647,175546,62303,4293,1857
16,750345,486192,193911,8616,5446
41,547532,1072,50,22,11
50,24819,10160,1050,53,27
45,931587,171051,67739,4104,2540
47,695641,238030,23062,1719,378
30,482046,168107,19474,3282,532
51,700081,434565,97995,2408,1411
20,929685,497236,154917,1225,805
42,937231,237318,81496,1867,960
10,746186,193,29,2,0
11,923007,67714,17710,845,536
27,467702,40435,2804,495,327
11,168594,105245,37929,1723,694
34,249935,20437,2240,212,70
27,550259,30528,6704,258,88
20,510989,162612,26745,2507,1283
52,60096,34245,11345,219,77
54,750942,136252,27119,2637,1206
39,353722,39844,10399,181,54
33,506061,288150,39351,2405,1134
10,50892,7976,2903,125,78
22,812056,329068,3515,5200,1108
21,677855,332569,97961,5531,2386
48,74323,20940,3678,274,63
55,573518,324003,125931,4737,2918
21,376637,226700,69329,2060,278
23,781955,407367,65029,4274,2240
33,822795,390001,125607,4012,2055
10,418750,133645,27821,2387,206
12,535825,73157,1642,1573,97
29,924262,465230,37874,8124,635
30,489267,110476,17911,2585,90
20,879368,572608,153090,5639,2542
20,135682,50881,7713,944,324
25,289935,3484,1092,20,3
34,903941,409234,32446,8390,1390
46,704320,161850,19294,3077,566
5,609453,262718,80347,826,99
31,790372,24067,4167,434,236
34,750369,271101,65378,1482,426
17,630556,67394,16130,1197,720
52,853104,45589,16274,758,163
18,636117,360722,12659,105,65
36,658349,231224,89272,5131,1426
17,472376,210080,37155,4600,2697
53,984793,453657,15329,521,30
40,301749,27047,1544,230,18
54,971357,111164,13178,2338,779
29,302525,23738,673,314,118
39,578064,269616,66922,6075,3321
25,205584,49255,5072,1186,223
12,422117,112780,26052,1038,380
49,265598,59672,4952,815,400
13,307222,13123,4689,130,63
34,962886,174445,10848,619,162
32,29060,1219,171,3,1
56,952372,10191,114,223,55
37,986657,537842,199478,4721,2891
44,561388,152488,26474,2668,291
30,773587,279571,16917,3617,1331
26,71676,45324,6977,503,258
55,663764,113266,31512,2325,564
31,170467,86546,19813,721,447
5,988418,344391,78618,239,22
27,345192,63925,7783,99,57
43,755590,128952,25210,1750,498
48,611144,46826,12186,503,44
34,929654,616498,97225,588,176
7,208229,115949,2253,2058,149
17,248398,139777,17309,1639,209
31,677288,214708,66446,2167,1428
8,726718,241278,28762,1233,87
13,857998,468810,183219,5830,2431
48,589041,144226,51973,3362,1597
31,604898,288298,95777,3225,899
20,737901,205717,4645,666,12
56,680252,177711,1946,3223,9
31,250243,45005,9872,705,240
28,5279,2670,16,12,7
37,364943,212815,6149,906,4
51,865320,139937,49470,2574,1504
51,874793,306997,29763,5262,2006
24,468077,194366,37758,4319,131
57,539826,132637,16501,444,60
55,309589,170284,54865,2735,754
39,572084,93187,4911,1475,9
26,879769,107260,27447,2288,1257
37,436875,260329,41775,4663,1947
43,501354,248235,64155,3883,2110
50,168449,90690,16615,1962,383
32,200060,106959,32426,2564,1500
57,182650,88712,28801,434,95
49,195432,27339,3483,433,200
9,90931,51974,3568,970,156
43,920337,567807,214550,4524,2850
33,995247,505255,156842,9099,3081
23,956314,572469,154525,2902,298
53,328659,165642,46318,337,135
49,631075,284311,97442,1163,354
60,228358,19295,2332,270,35
51,276059,97689,38967,2376,507
53,351066,58438,19119,39,0
41,530697,30862,8161,278,166
49,2883,1242,348,11,2
56,426268,155933,50782,3414,1935
11,660561,322446,120347,5519,3449
40,150706,72838,9413,454,1
47,965051,567073,67201,3940,2550
24,311719,71173,6362,496,163
50,56142,27239,1540,390,172
48,915553,272536,78299,7,3
20,593281,332025,103892,7769,2486
59,169697,12958,589,314,120
53,812513,523168,20023,7565,2809
34,743385,414665,52389,1427,107
58,726835,293637,31598,3868,1854
43,950500,146636,25913,1956,956
38,25771,4775,1771,77,26
35,660194,349323,30579,7102,1335
50,848448,207258,56105,3272,275
18,56312,36854,6211,512,254
10,263806,8528,2373,27,10
19,951464,365819,101090,752,387
40,907591,291689,65458,1736,853
40,285004,33069,11653,572,71
40,611518,43431,8890,196,45
18,227262,34194,565,456,74
59,216296,92543,22041,270,70
34,714428,445887,67205,5983,2559
22,915340,459193,53596,7729,1440
29,830574,424374,150314,7366,2892
48,42647,17703,5027,375,155
60,697308,190336,65540,3019,1572
16,775229,42657,1636,835,247
26,242727,4464,620,62,26
12,64994,37401,4768,246,100
15,338032,174028,58508,3167,834
26,405315,241311,12754,5667,1200
28,443793,62808,18380,671,251
23,754822,441008,28597,7603,4094
20,612397,69987,27953,910,606
50,998792,151348,48830,2843,1301
51,765069,301210,66991,278,156
54,112830,38543,526,107,3
23,762699,352035,26264,7098,458
24,645348,25962,6713,211,44
16,379005,204577,49432,2862,1858
15,894337,129925,3678,1010,304
58,712536,216805,47945,4486,1734
9,148492,70227,14962,1264,841
33,433310,102440,34276,1753,1030
