#,video_id,video_duration_sec,video_transcription_text,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count,deep_engagement_rate,share_to_like_ratio,is_highly_shareable,complexity_score,claim_status_opinion,verified_status_verified,author_ban_status_banned,author_ban_status_under review,llm_sentiment_score
18921,9423112256,22,in my opinion a dog’s sense of smell is much more powerful than a human's,6517.0,337.0,120.0,5.0,0.0,0.10925272364584931,0.3560830860534125,1,0.8823529411764706,True,False,False,False,1.0
6934,8822399578,39,a colleague read  on social media that captive ravens can speak better than parrots,758131.0,41367.0,11288.0,774.0,143.0,0.10267222946957716,0.2728745135010999,0,1.0,False,False,False,False,0.0
352,9713031749,17,a friend reported someone revealed that pineapples are named after pinecones,613559.0,368043.0,113662.0,7130.0,4288.0,1.2044399968055233,0.30882804454914237,1,1.0,False,False,False,False,1.0
8942,7073857759,9,someone discovered on tv a claim that making emotional facial expressions can prompt humans to have those emotions,363966.0,196481.0,1246.0,1593.0,657.0,0.566844155772792,0.0063415801018928035,0,1.0,False,False,False,False,1.0
386,3158722505,5,"a friend told me someone revealed that the canary islands are named after types of dogs, not birds",582955.0,86748.0,7182.0,865.0,21.0,0.1902908457771183,0.08279153409876885,0,1.0,False,False,False,True,1.0
4230,2305406474,34,someone read  in the news that astronauts can grow as much as two inches in space,734272.0,221439.0,53982.0,2988.0,1255.0,0.5377557635317702,0.24377819625269262,0,0.875,False,False,False,True,1.0
937,3925142467,22,i reported an expert discovered that ketchup leaves the bottle at a measured speed of 25 miles per year,639412.0,73836.0,17206.0,139.0,25.0,0.19693249422907297,0.23302995828593098,0,1.0,False,False,False,False,0.0
9940,5863974624,16,i feel that astronauts can grow as much as two inches in space,1448.0,396.0,143.0,5.0,2.0,0.5828729281767956,0.3611111111111111,1,0.9230769230769231,True,False,False,False,1.0
1698,6957263861,12,a friend learned  on an internet forum a claim that the eye of an ostrich is bigger than its brain,145144.0,24675.0,2112.0,506.0,280.0,0.22797359863308164,0.08559270516717325,0,0.9,False,False,False,False,1.0
16447,1441289870,49,my colleagues' feeling is that 1 in 3 people have never used the internet,6255.0,1595.0,584.0,1.0,0.0,0.5355715427657873,0.36614420062695924,1,1.0,True,False,False,False,0.0
16754,6202792028,38,my colleagues' reasoning is that new parents lose around 750 hours of sleep in the first year of their first child’s life,7700.0,2857.0,8.0,25.0,2.0,0.38441558441558443,0.00280014000700035,0,0.9130434782608695,True,False,False,False,1.0
14814,7582836489,16,my family's view is that ketchup leaves the bottle at a measured speed of 25 miles per year,6417.0,2219.0,167.0,16.0,4.0,0.4326009038491507,0.07525912573231185,0,1.0,True,True,False,False,0.0
7294,5724688354,29,a colleague read  in the media that the japanese word ‘karaoke’ comes from a phrase meaning ’empty orchestra’,841356.0,238943.0,83474.0,213.0,12.0,0.5824264639462963,0.34934691537312246,1,0.8888888888888888,False,False,False,False,1.0
6747,7187252968,29,a colleague read  on an internet forum that neptune radiates more heat than it gets from the sun,978688.0,39990.0,2251.0,374.0,113.0,0.049138234043944545,0.056289072268067016,0,1.0,False,False,False,True,1.0
1444,7217669780,40,a colleague told them the media revealed the eiffel tower leans away from the sun,534157.0,102094.0,27336.0,1108.0,478.0,0.35267159280885585,0.2677532470076596,0,0.8666666666666667,False,False,False,False,0.0
1351,3572363568,23,a colleague mentioned the media revealed india’s trains transport roughly 23 million passengers each day,387368.0,113659.0,20512.0,1613.0,550.0,0.46760186695855105,0.18046965044563124,0,1.0,False,False,False,False,1.0
15013,6492373216,49,my family's thinking is that ravens are always aware when someone is watching them,6352.0,305.0,38.0,7.0,2.0,0.0698992443324937,0.12459016393442623,0,0.9333333333333333,True,False,False,False,1.0
13524,6131501367,13,my friends' point of view is that apple seeds contain cyanide,7866.0,1455.0,514.0,23.0,2.0,0.3902873124841088,0.3532646048109966,1,1.0,True,False,False,False,0.0
314,2507960003,18,a friend reported someone revealed that iceland is growing 5 centimeters per year,134641.0,51795.0,5750.0,286.0,65.0,0.5201461664723227,0.11101457669659233,0,1.0,False,False,False,False,1.0
13291,8015263411,55,our belief is that typing keyboards were previously arranged alphabetically,119.0,21.0,0.0,0.0,0.0,0.17647058823529413,0.0,0,1.0,True,False,False,False,0.0
9362,9079375042,41,a colleague discovered on the news a claim that it would take less than a month to get to the moon by car at 60mph,659859.0,58398.0,17967.0,1349.0,124.0,0.17669532430413165,0.30766464604952226,1,0.84,False,False,False,True,0.0
14016,1958829106,17,my friends' impression is that x-rays can’t distinguish real diamonds from fake ones,8855.0,3580.0,90.0,31.0,4.0,0.446188594014681,0.025139664804469275,0,1.0,True,False,False,False,0.0
13397,5929111336,51,our hypothesis is that there are more than 24 time zones around the world,3388.0,5.0,1.0,0.0,0.0,0.0023612750885478157,0.2,0,1.0,True,False,False,False,0.0
15470,2293634319,26,my family's position is that sneezing while traveling at 60 mph makes you close your eyes for 50 feet,7561.0,2486.0,109.0,50.0,0.0,0.39187938103425474,0.04384553499597747,0,1.0,True,False,False,False,0.0
1124,4796645008,24,i told them an expert revealed that armadillos have bulletproof shells,939243.0,88110.0,32786.0,881.0,263.0,0.20190408658888062,0.3721030530019294,1,1.0,False,False,False,False,2.0
2827,5049054533,53,"a friend read  on a website a claim that at birth, baby pandas are smaller than mice",501697.0,318375.0,37649.0,4031.0,2069.0,0.8920782862963104,0.11825363172359639,0,0.8823529411764706,False,False,False,False,1.0
1805,9578397535,51,a friend learned  in the media a claim that the microwave oven was an accidental invention,107812.0,37220.0,1178.0,863.0,197.0,0.4056784031462175,0.031649650725416444,0,0.875,False,False,True,False,1.0
18120,5546534099,27,my family is willing to wager that the largest recorded snowflake was 15 inches wide,9970.0,3734.0,47.0,36.0,10.0,0.4015045135406219,0.012587038028923407,0,1.0,True,False,False,False,1.0
10671,4254767395,47,my friends understand that 12 plants and 5 animals make up 75% of diets around the world,4907.0,2096.0,666.0,15.0,6.0,0.8459343794579173,0.31774809160305345,1,1.0,True,False,False,False,1.0
11040,3622388104,43,my colleagues understand that smelling green apples help with weight loss,5047.0,1748.0,677.0,6.0,1.0,0.7527243907271647,0.38729977116704806,1,1.0,True,False,False,False,0.0
6389,5093989381,55,a colleague learned  on a website that cold water is just as cleansing as hot water,571066.0,358374.0,132679.0,1864.0,247.0,1.3352169451516986,0.37022496051610887,1,0.8125,False,False,False,False,1.0
14491,8132882186,22,my friends' belief is that the people who are currently alive are only 7% of the total number of people who have ever lived,533.0,146.0,37.0,1.0,0.0,0.4878048780487805,0.2534246575342466,0,0.7916666666666666,True,False,False,False,1.0
12886,6409222657,30,our feeling is that elvis presley has sold more records than the music band the beatles,2030.0,116.0,14.0,1.0,0.0,0.07931034482758621,0.1206896551724138,0,0.9375,True,False,False,False,0.0
5291,7925440239,40,i read  on an internet forum that it is physically impossible for humans to keep their eyes open while sneezing,602917.0,331145.0,80152.0,2796.0,1367.0,0.9665061691741981,0.24204502559301816,0,1.0,False,False,True,False,1.0
